Mar. 11, 2026   16:11:58
Linear Sweep Voltammetry
File: c:\users\11838\desktop\Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = -1.11
Final E (V) = -0.81
Scan Rate (V/s) = 0.005
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4


Potential/V, Current/A

-1.110, 4.033e-6
-1.109, 5.367e-6
-1.108, 6.467e-6
-1.107, 7.512e-6
-1.106, 8.551e-6
-1.105, 9.645e-6
-1.104, 1.074e-5
-1.103, 1.187e-5
-1.102, 1.303e-5
-1.101, 1.422e-5
-1.100, 1.547e-5
-1.099, 1.674e-5
-1.098, 1.806e-5
-1.097, 1.943e-5
-1.096, 2.082e-5
-1.095, 2.228e-5
-1.094, 2.379e-5
-1.093, 2.533e-5
-1.092, 2.693e-5
-1.091, 2.856e-5
-1.090, 3.025e-5
-1.089, 3.203e-5
-1.088, 3.384e-5
-1.087, 3.572e-5
-1.086, 3.765e-5
-1.085, 3.962e-5
-1.084, 4.168e-5
-1.083, 4.380e-5
-1.082, 4.595e-5
-1.081, 4.820e-5
-1.080, 5.047e-5
-1.079, 5.284e-5
-1.078, 5.527e-5
-1.077, 5.773e-5
-1.076, 6.031e-5
-1.075, 6.292e-5
-1.074, 6.563e-5
-1.073, 6.836e-5
-1.072, 7.122e-5
-1.071, 7.408e-5
-1.070, 7.706e-5
-1.069, 8.010e-5
-1.068, 8.324e-5
-1.067, 8.640e-5
-1.066, 8.963e-5
-1.065, 9.298e-5
-1.064, 9.636e-5
-1.063, 9.984e-5
-1.062, 1.034e-4
-1.061, 1.070e-4
-1.060, 1.107e-4
-1.059, 1.145e-4
-1.058, 1.183e-4
-1.057, 1.223e-4
-1.056, 1.263e-4
-1.055, 1.304e-4
-1.054, 1.345e-4
-1.053, 1.387e-4
-1.052, 1.431e-4
-1.051, 1.474e-4
-1.050, 1.519e-4
-1.049, 1.564e-4
-1.048, 1.610e-4
-1.047, 1.658e-4
-1.046, 1.706e-4
-1.045, 1.755e-4
-1.044, 1.804e-4
-1.043, 1.855e-4
-1.042, 1.906e-4
-1.041, 1.958e-4
-1.040, 2.010e-4
-1.039, 2.064e-4
-1.038, 2.118e-4
-1.037, 2.173e-4
-1.036, 2.229e-4
-1.035, 2.286e-4
