Mar. 11, 2026   16:14:54
Linear Sweep Voltammetry
File: c:\users\11838\desktop\Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = -1.11
Final E (V) = -1.31
Scan Rate (V/s) = 0.005
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4


Potential/V, Current/A

-1.110, -2.468e-6
-1.111, -3.747e-6
-1.112, -4.740e-6
-1.113, -5.671e-6
-1.114, -6.532e-6
-1.115, -7.362e-6
-1.116, -8.170e-6
-1.117, -8.942e-6
-1.118, -9.652e-6
-1.119, -1.036e-5
-1.120, -1.100e-5
-1.121, -1.163e-5
-1.122, -1.225e-5
-1.123, -1.284e-5
-1.124, -1.345e-5
-1.125, -1.403e-5
-1.126, -1.458e-5
-1.127, -1.513e-5
-1.128, -1.561e-5
-1.129, -1.611e-5
-1.130, -1.658e-5
-1.131, -1.703e-5
-1.132, -1.750e-5
-1.133, -1.794e-5
-1.134, -1.836e-5
-1.135, -1.877e-5
-1.136, -1.916e-5
-1.137, -1.955e-5
-1.138, -1.995e-5
-1.139, -2.030e-5
-1.140, -2.070e-5
-1.141, -2.103e-5
-1.142, -2.138e-5
-1.143, -2.173e-5
-1.144, -2.202e-5
-1.145, -2.238e-5
-1.146, -2.270e-5
-1.147, -2.300e-5
-1.148, -2.331e-5
-1.149, -2.362e-5
-1.150, -2.390e-5
-1.151, -2.434e-5
-1.152, -2.459e-5
-1.153, -2.490e-5
-1.154, -2.520e-5
-1.155, -2.545e-5
-1.156, -2.570e-5
-1.157, -2.594e-5
-1.158, -2.622e-5
-1.159, -2.646e-5
-1.160, -2.668e-5
-1.161, -2.693e-5
-1.162, -2.717e-5
-1.163, -2.739e-5
-1.164, -2.766e-5
-1.165, -2.791e-5
-1.166, -2.816e-5
-1.167, -2.840e-5
-1.168, -2.862e-5
-1.169, -2.889e-5
-1.170, -2.914e-5
-1.171, -2.938e-5
-1.172, -2.966e-5
-1.173, -2.991e-5
-1.174, -3.018e-5
-1.175, -3.043e-5
-1.176, -3.068e-5
-1.177, -3.098e-5
-1.178, -3.123e-5
-1.179, -3.151e-5
-1.180, -3.175e-5
-1.181, -3.203e-5
-1.182, -3.230e-5
-1.183, -3.258e-5
-1.184, -3.283e-5
-1.185, -3.310e-5
-1.186, -3.335e-5
-1.187, -3.360e-5
-1.188, -3.387e-5
-1.189, -3.412e-5
-1.190, -3.439e-5
-1.191, -3.464e-5
-1.192, -3.489e-5
-1.193, -3.516e-5
-1.194, -3.541e-5
-1.195, -3.566e-5
-1.196, -3.593e-5
-1.197, -3.618e-5
-1.198, -3.642e-5
-1.199, -3.670e-5
-1.200, -3.695e-5
-1.201, -3.722e-5
-1.202, -3.750e-5
-1.203, -3.778e-5
-1.204, -3.808e-5
-1.205, -3.833e-5
-1.206, -3.864e-5
-1.207, -3.894e-5
-1.208, -3.919e-5
-1.209, -3.950e-5
-1.210, -3.980e-5
-1.211, -4.008e-5
-1.212, -4.039e-5
-1.213, -4.070e-5
-1.214, -4.097e-5
-1.215, -4.125e-5
-1.216, -4.153e-5
-1.217, -4.183e-5
-1.218, -4.211e-5
-1.219, -4.236e-5
-1.220, -4.266e-5
-1.221, -4.291e-5
-1.222, -4.319e-5
-1.223, -4.346e-5
-1.224, -4.371e-5
-1.225, -4.402e-5
-1.226, -4.426e-5
-1.227, -4.454e-5
-1.228, -4.485e-5
-1.229, -4.512e-5
-1.230, -4.540e-5
-1.231, -4.568e-5
-1.232, -4.595e-5
-1.233, -4.623e-5
-1.234, -4.651e-5
-1.235, -4.678e-5
-1.236, -4.706e-5
-1.237, -4.730e-5
-1.238, -4.758e-5
-1.239, -4.789e-5
-1.240, -4.813e-5
-1.241, -4.844e-5
-1.242, -4.869e-5
-1.243, -4.896e-5
-1.244, -4.924e-5
-1.245, -4.949e-5
-1.246, -4.976e-5
-1.247, -5.001e-5
-1.248, -5.026e-5
-1.249, -5.050e-5
-1.250, -5.078e-5
-1.251, -5.099e-5
-1.252, -5.124e-5
-1.253, -5.145e-5
-1.254, -5.167e-5
-1.255, -5.195e-5
-1.256, -5.210e-5
-1.257, -5.235e-5
-1.258, -5.259e-5
-1.259, -5.281e-5
-1.260, -5.302e-5
-1.261, -5.324e-5
-1.262, -5.348e-5
-1.263, -5.373e-5
-1.264, -5.394e-5
-1.265, -5.419e-5
-1.266, -5.444e-5
-1.267, -5.468e-5
-1.268, -5.493e-5
-1.269, -5.517e-5
-1.270, -5.542e-5
-1.271, -5.567e-5
-1.272, -5.588e-5
-1.273, -5.616e-5
-1.274, -5.640e-5
-1.275, -5.665e-5
-1.276, -5.693e-5
-1.277, -5.717e-5
-1.278, -5.745e-5
-1.279, -5.776e-5
-1.280, -5.803e-5
-1.281, -5.834e-5
-1.282, -5.865e-5
-1.283, -5.895e-5
-1.284, -5.929e-5
-1.285, -5.963e-5
-1.286, -5.997e-5
-1.287, -6.037e-5
-1.288, -6.074e-5
-1.289, -6.120e-5
-1.290, -6.166e-5
-1.291, -6.212e-5
-1.292, -6.264e-5
-1.293, -6.320e-5
-1.294, -6.378e-5
-1.295, -6.443e-5
-1.296, -6.510e-5
-1.297, -6.581e-5
-1.298, -6.658e-5
-1.299, -6.741e-5
-1.300, -6.830e-5
-1.301, -6.922e-5
-1.302, -7.020e-5
-1.303, -7.122e-5
-1.304, -7.232e-5
-1.305, -7.349e-5
-1.306, -7.469e-5
-1.307, -7.595e-5
-1.308, -7.727e-5
-1.309, -7.863e-5
